"","Date","Start","End","Size","Filled"
"1",2017-08-17 04:00:00,0,491,492,9
"2",2017-09-07 01:00:00,501,3358,2858,4
"3",2018-01-04 07:00:00,3363,4195,833,36
"4",2018-02-09 12:00:00,4232,7508,3277,13
"5",2018-06-26 14:00:00,7522,7543,22,4
"6",2018-06-27 16:00:00,7548,7699,152,10
"7",2018-07-04 10:00:00,7710,10272,2563,6
"8",2018-10-19 11:00:00,10279,10892,614,10
"9",2018-11-14 11:00:00,10903,13724,2822,9
"10",2019-03-12 10:00:00,13734,15261,1528,13
"11",2019-05-15 15:00:00,15275,17468,2194,11
"12",2019-08-15 12:00:00,17480,19628,2149,5
"13",2019-11-13 06:00:00,19634,19916,283,5
"14",2019-11-25 06:00:00,19922,21740,1819,4
"15",2020-02-09 05:00:00,21745,21990,246,8
"16",2020-02-19 19:00:00,21999,22324,326,4
"17",2020-03-04 13:00:00,22329,23564,1236,5
"18",2020-04-25 06:00:00,23570,25100,1531,6
"19",2020-06-28 07:00:00,25107,28824,3718,4
"20",2020-11-30 09:00:00,28829,29336,508,7
"21",2020-12-21 20:00:00,29344,29420,77,4
"22",2020-12-25 05:00:00,29425,30574,1150,4
"23",2021-02-11 07:00:00,30579,31124,546,4
"24",2021-03-06 05:00:00,31129,32204,1076,5
"25",2021-04-20 06:00:00,32210,32327,118,6
"26",2021-04-25 10:00:00,32334,34964,2631,7
"27",2021-08-13 08:00:00,34972,36097,1126,5
"28",2021-09-29 11:00:00,36103,49087,12985,4
"29",2023-03-24 16:00:00,49092,54564,5473,0
